Opponent/Game	Category	Start	Click	End	XY	Attacking Player	Shot Origin	Shot Outcome	Shot Location	Defending Player
FIFH	@@@P1	00:00	00:00	00:00	Malmo 2026					
FIFH	T-START	00:00	00:00	00:00	Malmo 2026					
FIFH	Shot Opponent	00:23	00:28	00:37	Malmo 2026	Player 8	5	Canada Ball Control Save	4	Emma
FIFH	Shot Canada	00:32	00:37	00:46	Malmo 2026	Emma	5	Opponent Save	1	Player 1
FIFH	Shot Opponent	00:41	00:46	00:56	Malmo 2026	Player 1	1	Canada Ball Control Save	4	Meghan
FIFH	Shot Canada	00:52	00:57	01:10	Malmo 2026	Emma	5	Opponent Save	5	Player 8
FIFH	Shot Opponent	01:07	01:12	01:24	Malmo 2026	Player 8	4	Canada Save	4	Emma
FIFH	Shot Canada	01:19	01:24	01:38	Malmo 2026	Amy	1	Opponent Save	4	Player 8
FIFH	Shot Opponent	01:35	01:40	01:52	Malmo 2026	Player 1	2	Canada Ball Control Save	2	Meghan
FIFH	Shot Canada	01:47	01:52	02:04	Malmo 2026	Amy	2	Opponent Save	2	Player 1
FIFH	Shot Opponent	01:59	02:04	02:13	Malmo 2026	Player 1	2	Canada Ball Control Save	1.5	Amy
FIFH	Shot Canada	02:08	02:13	02:20	Malmo 2026	Amy	2	Opponent Save	1.5	Player 1
FIFH	Shot Opponent	02:20	02:25	02:33	Malmo 2026	Player 8	4	Canada Ball Control Save	1	Amy
FIFH	Shot Canada	02:29	02:34	02:53	Malmo 2026	Emma	4	Opponent Save	2.5	Player 3
FIFH	Shot Opponent	02:50	02:55	03:00	Malmo 2026	Player 1	1	Canada Ball Control Save	4.5	Emma
FIFH	Shot Canada	02:56	03:01	03:08	Malmo 2026	Emma	5	Opponent Save	1.5	Player 1
FIFH	Shot Opponent	03:03	03:08	03:18	Malmo 2026	Player 3	3	Canada Ball Control Save	3.5	Meghan
FIFH	Shot Canada	03:13	03:18	03:24	Malmo 2026	Meghan	2	Opponent Save	3	Player 3
FIFH	Shot Opponent	03:20	03:25	03:35	Malmo 2026	Player 8	5	Canada Save	2	Amy
FIFH	Shot Canada	03:30	03:35	03:47	Malmo 2026	Amy	1	Opponent Save	4	Player 8
FIFH	Shot Opponent	03:48	03:53	04:00	Malmo 2026	Player 1	2	Canada Save	2.5	Meghan
FIFH	Shot Canada	04:00	04:05	04:13	Malmo 2026	Amy	3	Opponent Save	1.5	Player 1
FIFH	Shot Opponent	04:17	04:22	04:29	Malmo 2026	Player 1	2	Canada Ball Control Save	3	Meghan
FIFH	Shot Canada	04:25	04:30	04:35	Malmo 2026	Emma	4	Opponent Save	3	Player 3
FIFH	Shot Opponent	04:31	04:36	04:44	Malmo 2026	Player 8	4	Canada Ball Control Save	4.5	Emma
FIFH	Shot Canada	04:40	04:45	04:54	Malmo 2026	Emma	4	Opponent Save	4	Player 8
FIFH	Shot Opponent	04:54	04:59	05:16	Malmo 2026	Player 8	5	Canada Ball Control Save	1	Amy
FIFH	Shot Canada	05:11	05:16	05:25	Malmo 2026	Amy	2	Opponent Save	1	Player 1
FIFH	Shot Opponent	05:20	05:25	05:33	Malmo 2026	Player 1	2	Canada Ball Control Save	2	Meghan
FIFH	Shot Canada	05:29	05:34	05:43	Malmo 2026	Meghan	3	Opponent Save	1	Player 8
FIFH	Shot Opponent	05:38	05:43	05:48	Malmo 2026	Player 8	5	Canada Ball Control Save	4	Emma
FIFH	Shot Canada	05:43	05:48	05:58	Malmo 2026	Emma	2	Opponent Save	2	Player 8
FIFH	Shot Opponent	05:53	05:58	06:06	Malmo 2026	Player 8	5	Canada Ball Control Save	5	Emma
FIFH	Shot Canada	06:02	06:07	06:19	Malmo 2026	Amy	4	Opponent Save	2	Player 1
FIFH	Shot Opponent	06:19	06:24	06:35	Malmo 2026	Player 8	4	Canada Ball Control Save	1	Amy
FIFH	Shot Canada	06:31	06:36	06:43	Malmo 2026	Amy	1	Opponent Save	2	Player 3
FIFH	Shot Opponent	06:39	06:44	06:49	Malmo 2026	Player 3	3	Canada Ball Control Save	3	Meghan
FIFH	Shot Canada	06:44	06:49	06:59	Malmo 2026	Emma	5	Opponent Save	1.5	Player 1
FIFH	Shot Opponent	06:55	07:00	07:07	Malmo 2026	Player 1	1	Canada Ball Control Save	5	Emma
FIFH	Shot Canada	07:03	07:08	07:15	Malmo 2026	Amy	3	Opponent Save	1.5	Player 1
FIFH	Shot Opponent	07:10	07:15	07:23	Malmo 2026	Player 1	2	Canada Ball Control Save	3.5	Meghan
FIFH	Shot Canada	07:19	07:24	07:32	Malmo 2026	Meghan	3	Opponent Save	1.5	Player 1
FIFH	Shot Opponent	07:51	07:56	08:04	Malmo 2026	Player 8	4	Canada Ball Control Save	5	Emma
FIFH	Shot Canada	08:00	08:05	08:16	Malmo 2026	Emma	4	Opponent Save	2	Player 8
FIFH	Shot Opponent	08:12	08:17	08:29	Malmo 2026	Player 8	5	Canada Ball Control Save	2.5	Meghan
FIFH	Shot Canada	08:25	08:30	08:38	Malmo 2026	Amy	1	Opponent Save	2	Player 1
FIFH	Shot Opponent	08:33	08:38	08:45	Malmo 2026	Player 3	3	Canada Ball Control Save	5	Emma
FIFH	Shot Canada	08:40	08:45	08:57	Malmo 2026	Emma	5	Opponent Save	1.5	Player 1
FIFH	Shot Opponent	08:53	08:58	09:06	Malmo 2026	Player 1	2	Canada Ball Control Save	2	Amy
FIFH	Shot Canada	09:02	09:07	09:19	Malmo 2026	Amy	1	Goal Canada	4	Player 8
FIFH	Shot Opponent	09:28	09:33	09:43	Malmo 2026	Player 8	4	Canada Save	4	Emma
FIFH	Shot Canada	09:39	09:44	09:54	Malmo 2026	Emma	4	Opponent Save	4	Player 8
FIFH	Shot Opponent	09:50	09:55	10:07	Malmo 2026	Player 1	1	Canada Ball Control Save	4	Emma
FIFH	Shot Canada	10:02	10:07	10:16	Malmo 2026	Amy	2	Opponent Save	2	Player 1
FIFH	Shot Opponent	10:12	10:17	10:24	Malmo 2026	Player 1	2	Canada Ball Control Save	1	Amy
